Title,,Artist,,Genre,,Subgenre,,Out for the Day,On my Wall,Cubby,Genre,Count,,,,
Jazz Hall of Fame,,Various,,Jazz,,,,,,3,,,,,,
Lullabies of Birdland,,Various,,Jazz,,,,,,3,,,,,,
Modern Jazz Greats,,Various,,Jazz,,,,,,3,,,,,,
Modern Jazz Greats Volume 2,,Various,,Jazz,,,,,,3,,,,,,
Plaza House Presents the Greatest Hits of the 40s,,Various,,Jazz,,,,,,3,,,,,,
Summit Meeting,,Various,,Jazz,,,,,,3,,,,,,
The History of Jazz Volume 1,,Various,,Jazz,,,,,,3,,,,,,
The History of Jazz Volume 2,,Various,,Jazz,,,,,,3,,,,,,
The History of Jazz Volume 3,,Various,,Jazz,,,,,,3,,,,,,
The History of Jazz Volume 4,,Various,,Jazz,,,,,,3,,,,,,
The RCA Victor Encyclopedia of Recorded Jazz Album 1,,Various,,Jazz,,,,,,3,,,,,,
The RCA Victor Encyclopedia of Recorded Jazz Album 10,,Various,,Jazz,,,,,,3,,,,,,
The RCA Victor Encyclopedia of Recorded Jazz Album 11,,Various,,Jazz,,,,,,3,,,,,,
The RCA Victor Encyclopedia of Recorded Jazz Album 12,,Various,,Jazz,,,,,,3,,,,,,
The RCA Victor Encyclopedia of Recorded Jazz Album 2,,Various,,Jazz,,,,,,3,,,,,,
The RCA Victor Encyclopedia of Recorded Jazz Album 3,,Various,,Jazz,,,,,,3,,,,,,
The RCA Victor Encyclopedia of Recorded Jazz Album 4,,Various,,Jazz,,,,,,3,,,,,,
The RCA Victor Encyclopedia of Recorded Jazz Album 5,,Various,,Jazz,,,,,,3,,,,,,
The RCA Victor Encyclopedia of Recorded Jazz Album 6,,Various,,Jazz,,,,,,3,,,,,,
The RCA Victor Encyclopedia of Recorded Jazz Album 7,,Various,,Jazz,,,,,,3,,,,,,
The RCA Victor Encyclopedia of Recorded Jazz Album 8,,Various,,Jazz,,,,,,3,,,,,,
The RCA Victor Encyclopedia of Recorded Jazz Album 9,,Various,,Jazz,,,,,,3,,,,,,
At Mr. Kelly's,,"Vaughn, Sarah",,Jazz,,,,,,3,,,,,,
Broken Hearted Melody,,"Vaughn, Sarah",,Jazz,,,,,,3,,,,,,
Unforgettable,,"Washington, Dina",,Jazz,,,,,,3,,,,,,
Mr. Wilson and Mr. Gershwin,,"Wilson, Teddy and his Trio",,Jazz,,,,,,3,,,,,,
Epicus Doomicus Metallicus,,Candlemass,,Metal,,,,,,3,,,,,,
Koloss,,Meshugga,,Metal,,,,,,3,,,,,,
Raining Blood,,Slayer,,Metal,,,,,,3,,,,,,
Undertow,,Tool,,Metal,,,,,,3,,,,,,
Fresh Aire II,,Mannheim Steamroller,,New Age,,,,,,3,,,,,,
Travels,,"Metheney, Pat",,New Age,,,,,,3,,,,,,
My Son the Nut,,"Sherman, Allan",,Novelty,,,,,,3,,,,,,
Dr. Demento's Delights,,Various,,Novelty,,,,,,3,,,,,,
The Voice of the Silver Reeds,,Various,,Novelty,,,,,,3,,,,,,
"Changes in Latitudes, Changes in Attitudes",,"Buffet, Jimmy",,Pop,,,,,,3,,,,,,
The Laughter and the Tears,,"Edelman, Randy",,Pop,,,,,,3,,,,,,
The Point!,,"Nilsson, Harry",,Pop,,,,,,3,,,,,,
You'll Never Walk Alone,,"Presley, Elvis",,Pop,,,,,,3,,,,,,
Endless Flight,,"Sayer, Leo",,Pop,,,,,,3,,,,,,
Feelings,,The Young Lovers,,Pop,,,,,,3,,,,,,
Super-Sonic,,Various,,Pop,,,,,,3,,,,,,
"General Strike, The",,Anti-Flag,,Punk,,,,,,3,,,,,,
Touch the Sky,,"Robinson, Smokey",,RnB,,,,,,3,,,,,,
Back In Black,,AC/DC,,Rock,,,,,,3,,,,,,
Not Fragile,,Bachman Turner Overdrive,,Rock,,,,,,3,,,,,,
On My Own Two Feet,,"Barrère, Paul",,Rock,,,,,,3,,,,,,
A Hard Days Night,,"Beatles, The",,Rock,,,,,,3,,,,,,
Abbey Road,,"Beatles, The",,Rock,,,,,,3,,,,,,
